jira_key,reason
BOOKKEEPER-7,missing_review_start;missing_review_end
BOOKKEEPER-680,missing_review_start;missing_review_end
BOOKKEEPER-14,missing_review_start;missing_review_end
BOOKKEEPER-10,missing_review_start;missing_review_end
BOOKKEEPER-691,missing_review_start;missing_review_end
BOOKKEEPER-694,missing_review_start;missing_review_end
BOOKKEEPER-13,missing_review_start;missing_review_end
BOOKKEEPER-2,missing_review_start;missing_review_end
BOOKKEEPER-8,missing_review_start;missing_review_end
BOOKKEEPER-3,missing_review_start;missing_review_end
BOOKKEEPER-693,missing_review_start;missing_review_end
BOOKKEEPER-17,missing_review_start;missing_review_end
BOOKKEEPER-6,missing_review_start;missing_review_end
BOOKKEEPER-15,missing_review_start;missing_review_end
BOOKKEEPER-16,missing_review_start;missing_review_end
BOOKKEEPER-5,missing_review_start;missing_review_end
BOOKKEEPER-11,missing_review_start;missing_review_end
BOOKKEEPER-12,missing_review_start;missing_review_end
BOOKKEEPER-692,missing_review_start;missing_review_end
BOOKKEEPER-9,missing_review_start;missing_review_end
BOOKKEEPER-1,missing_review_start;missing_review_end
BOOKKEEPER-18,missing_review_start;missing_review_end
BOOKKEEPER-19,missing_review_start;missing_review_end
BOOKKEEPER-20,missing_review_start;missing_review_end
BOOKKEEPER-21,missing_review_start;missing_review_end
BOOKKEEPER-22,missing_review_start;missing_review_end
BOOKKEEPER-23,missing_review_start;missing_review_end
BOOKKEEPER-24,missing_review_start;missing_review_end
BOOKKEEPER-25,missing_review_start;missing_review_end
BOOKKEEPER-26,missing_review_start;missing_review_end
BOOKKEEPER-27,missing_review_start;missing_review_end
BOOKKEEPER-28,missing_review_start;missing_review_end
BOOKKEEPER-29,missing_review_start;missing_review_end
BOOKKEEPER-30,missing_review_start;missing_review_end
BOOKKEEPER-32,missing_review_start;missing_review_end
BOOKKEEPER-33,missing_review_start;missing_review_end
BOOKKEEPER-34,missing_review_start;missing_review_end
BOOKKEEPER-35,missing_review_start;missing_review_end
BOOKKEEPER-36,missing_review_start;missing_review_end;missing_testing_end
BOOKKEEPER-37,missing_review_start;missing_review_end
BOOKKEEPER-38,missing_review_start;missing_review_end
BOOKKEEPER-39,missing_review_start;missing_review_end
BOOKKEEPER-40,missing_review_start;missing_review_end
BOOKKEEPER-41,missing_review_start;missing_review_end
BOOKKEEPER-42,missing_review_start;missing_review_end
BOOKKEEPER-43,missing_review_start;missing_review_end
BOOKKEEPER-44,missing_review_start;missing_review_end
