key,fields.summary,fields.issuetype.name,fields.issuetype.id,fields.status.name,fields.status.id,fields.resolution.name,fields.resolutiondate,fields.created,fields.updated,fields.assignee.name,fields.assignee.displayName,fields.assignee.key,fields.description,created,resolved
BOOKKEEPER-680,Bookkeeper bookies need to store ledger keys with ledger fragments,Bug,1,Resolved,5,Fixed,2017-10-09 11:47:23,2009-04-01 15:59:07,2017-10-09T11:47:23.000+0000,,,,"currently ledger keys are stored in memory; however, we need to restrict access even after reboots so it needs to be in nonvolatile storage. the most obvious solution would be to store the ledger keys with the ledger fragments on the bookie.",2009-04-01 15:59:07,2017-10-09 11:47:23
BOOKKEEPER-14,Size limit for bookkeeper scans,Improvement,4,Resolved,5,Won't Do,2017-10-09 09:57:19,2009-05-08 05:29:21,2017-10-09T09:57:19.000+0000,,,,"Right now a bookkeeper scan can limit the amount of data scanned by specifying the number of entries to be scanned. But in many cases, if the entries are of different sizes, it is not easy to know how many to scan.

It is better to be able to specify both a count limit as well as a size limit , with the semantics that the scan should stop if either of those limits is reached.",2009-05-08 05:29:21,2017-10-09 09:57:19
BOOKKEEPER-10,Last hint for open ledger,New Feature,2,Resolved,5,Done,2017-10-09 09:58:01,2009-07-11 07:45:46,2017-10-09T09:58:01.000+0000,fpj,Flavio Paiva Junqueira,fpj,"In some use cases of BookKeeper, it is useful to be able to read from a ledger before closing the ledger. To enable such a feature, the writer has to be able to communicate to a reader how many entries it has been able to write successfully. The main idea of this jira is to continuously update a znode with the number of successful writes, and a reader can, for example, watch the node for changes.

 I was thinking of having a configuration parameter to state how often a writer should update the hint on ZooKeeper (e.g., every 1000 requests, every 10,000 requests). Clearly updating more often increases the overhead of writing to ZooKeeper, although the impact on the performance of writes to BookKeeper should be minimal given that we make an asynchronous call to update the hint.",2009-07-11 07:45:46,2017-10-09 09:58:01
BOOKKEEPER-691,improve bookkeeper javadocs for internal classes,Bug,1,Resolved,5,Won't Do,2017-10-09 09:36:54,2010-01-26 18:00:58,2017-10-09T09:36:54.000+0000,breed,Benjamin Reed,breed,the internal classes of bookkeeper are lacking javadoc.,2010-01-26 18:00:58,2017-10-09 09:36:54
BOOKKEEPER-694,GSoC 2010: FUSE module for BookKeeper,Wish,5,Resolved,5,Won't Do,2017-10-09 09:35:17,2010-03-13 00:41:21,2017-10-09T09:35:17.000+0000,,,,"FUSE module for BookKeeper
Possible Mentor
Ben Reed (breed at apache dot org)

Requirements
C/Java, some networking familiarity

Description
BookKeeper is a distributed write ahead log with client & server written in Java. BookKeeper client & server also use ZooKeeper. There is a BookKeeper API that clients can use to integrate write ahead logging into their application. It would be a lot easier if applications could use BK without changes to the client application through use of a file system api (FUSE). The project would involve implementing a C interface for BookKeeper (Java already exists) and implementing the FUSE module.

Example use: the write ahead log in mysql, called binlogs are typically written to the local filesystem using the std filesystem api. We could modify mysql to use BooKeeper, however if we had a BK FUSE module we could run it (mysql) w/o any modification and get the performance/reliability of a distributed write ahead log.",2010-03-13 00:41:21,2017-10-09 09:35:17
BOOKKEEPER-2,bookkeeper does not put enough meta-data in to do recovery properly,Sub-task,7,Closed,6,Fixed,2012-07-18 15:01:41,2010-07-09 20:40:40,2013-02-13T15:46:26.000+0000,ikelly,Ivan Kelly,ikelly,"somewhere, probably zookeeper, we need to keep track of the the information about keys used for access and for mac validation as well as the digest type for entries. we can't write a general recovery tool without it.",2010-07-09 20:40:40,2012-07-18 15:01:41
BOOKKEEPER-693,Review of BookKeeper Documentation (Sequence flow and failure scenarios),Task,3,Resolved,5,Done,2017-10-09 09:35:52,2010-11-04 08:30:00,2017-10-09T09:35:52.000+0000,,,,"I have prepared a document describing some of the internals of bookkeeper in terms of:
1. Sequence of operations
2. Files layout
3. Failure scenarios

The document is prepared by mostly by reading the code. Can somebody who understands the design review the same.",2010-11-04 08:30:00,2017-10-09 09:35:52
BOOKKEEPER-17,Documentation for Hedwig,Improvement,4,Resolved,5,Fixed,2011-06-28 04:28:47,2010-11-16 18:33:51,2011-11-30T11:40:17.000+0000,ikelly,Ivan Kelly,ikelly,,2010-11-16 18:33:51,2011-06-28 04:28:47
BOOKKEEPER-5,Issue with Netty in BookKeeper,Bug,1,Closed,6,Fixed,2011-08-30 07:49:03,2011-02-21 20:55:47,2011-12-07T15:56:09.000+0000,ikelly,Ivan Kelly,ikelly,"In one my experiments, I found that a BookKeeper object was locked after I tried to halt it. By searching the Web, I found that the issue is described here:

http://www.jboss.org/netty/community.html#nabble-td5492010

I'll upload a patch to fix it. For now, I'm marking it for 3.4.0, but if there is any chance we can get it in 3.3.3, it would be nice.",2011-02-21 20:55:47,2011-08-30 07:49:03
BOOKKEEPER-11,Read from open ledger,New Feature,2,Closed,6,Fixed,2011-07-28 18:34:55,2011-02-22 22:45:38,2011-12-07T15:56:14.000+0000,ikelly,Ivan Kelly,ikelly,"The BookKeeper client currently does not allow a client to read from an open ledger. That is, if the creator of a ledger is still writing to it (and the ledger is not closed), then an attempt to open the same ledger for reading will execute the code to recover the ledger, assuming that the ledger has not been correctly closed.

It seems that there are applications that do require the ability to read from a ledger while it is being written to, and the main goal of this jira is to discuss possible implementations of this feature.",2011-02-22 22:45:38,2011-07-28 18:34:55
BOOKKEEPER-12,BookKeeper as a sequencer,New Feature,2,Resolved,5,Won't Do,2017-10-09 09:57:29,2011-03-08 10:41:52,2017-10-09T09:57:29.000+0000,fpj,Flavio Paiva Junqueira,fpj,"It would be interesting to use BookKeeper as a sequencer for a number of parallel streams of events. The general idea is to use BookKeeper to establish a total order on the events of concurrent streams, and use the ordered sequence as the input of an architectural element that processes the events in the streams. This way the state of the element is reproducible.

Given that we currently interleave the entries of concurrent ledgers in a bookie for writing efficiently, I believe it wouldn't be difficult to extend the interface to enable such a feature.",2011-03-08 10:41:52,2017-10-09 09:57:29
BOOKKEEPER-692,TeaKeeper: Hot standby support using bookkeeper,Improvement,4,Resolved,5,Won't Do,2017-10-09 09:36:36,2011-03-14 17:20:36,2017-10-09T09:36:36.000+0000,ikelly,Ivan Kelly,ikelly,"Currently Bookkeeper provides functionality for cold backups. If the entity logging to bookkeeper fails, its replacement must recover the ledgers which had been used for backup before becoming available. This is acceptable in some cases, such as HBase Wals where a small delay in recovery only results in a small percentage of data being unavailable. 

However, systems such as the HDFS namenode, this delay can be unacceptable, such as cases where data is being served to customers. Secondary namenodes should be ready to go the instant the primary goes down.

TeaKeeper proposes a wrapper library around Bookkeeper providing T-Junction like functionality for logging. It also provides for primary/secondary election and automated hot failover. 

HDFS namenode is primary target of this work.

The attached design doc contains more details.",2011-03-14 17:20:36,2017-10-09 09:36:36
BOOKKEEPER-1,Static variable makes tests fail,Bug,1,Closed,6,Fixed,2011-05-25 09:42:40,2011-04-26 17:19:10,2011-12-07T15:56:08.000+0000,ikelly,Ivan Kelly,ikelly,"The following final static variable is causing LedgerDeleteTest to fail:

{noformat}
final static long LOG_SIZE_LIMIT = Long.getLong(""logSizeLimit"", 2 * 1024 * 1024 * 1024L);
{noformat}

because the test counts on the value of the variable to change and the new maven setup uses a single process by default, so the value of the variable doesn't change. ",2011-04-26 17:19:10,2011-05-25 09:42:40
BOOKKEEPER-18,maven build is unstable,Bug,1,Closed,6,Fixed,2011-08-29 17:34:45,2011-05-16 16:40:33,2011-12-07T15:56:17.000+0000,ikelly,Ivan Kelly,ikelly,"When checking out from trunk, and after installing zookeeper and zookeeper test artifacts in the local maven repo, and compiling protocol buffers, the build does not work out of the box (either mvn package or mvn -fae test).

I had to modify several files for managing to run the build without issues.

These modifications are included in the attached patch.
",2011-05-16 16:40:33,2011-08-29 17:34:45
BOOKKEEPER-19,BookKeeper doesn't support more than 2Gig of memory,Bug,1,Closed,6,Fixed,2011-05-20 14:15:56,2011-05-18 12:55:23,2011-11-09T15:53:18.000+0000,ikelly,Ivan Kelly,ikelly,"From LedgerCache.java
    private static int pageLimit = (int)(Runtime.getRuntime().maxMemory() / 3) / LedgerEntryPage.PAGE_SIZE;

pageLimit will be negative is maxMemory is 2^31 or more. This causes exceptions later on when pageLimit is used.",2011-05-18 12:55:23,2011-05-20 14:15:56
BOOKKEEPER-21,need to move the bookkeeper doc over from zookeeper,Bug,1,Resolved,5,Fixed,2011-06-28 04:27:39,2011-05-31 17:32:01,2011-11-30T11:41:01.000+0000,,,,the bookkeeper doc is currently in the zookeeper documentation. we need to move it over.,2011-05-31 17:32:01,2011-06-28 04:27:39
BOOKKEEPER-22,Exception in LedgerCache causes addEntry request to fail,Bug,1,Closed,6,Fixed,2011-06-06 15:50:21,2011-06-01 11:31:09,2011-12-07T15:56:13.000+0000,ikelly,Ivan Kelly,ikelly,"The following exception causes a client to stall:

{noformat}
WARN  - [NIOServerFactory:NIOServerFactory@123] - Exception in server socket loop: /0.0.0.0
java.util.NoSuchElementException
        at java.util.HashMap$HashIterator.nextEntry(HashMap.java:796)
        at java.util.HashMap$EntryIterator.next(HashMap.java:834)
        at java.util.HashMap$EntryIterator.next(HashMap.java:832)
        at org.apache.bookkeeper.bookie.LedgerCache.grabCleanPage(LedgerCache.java:429)
        at org.apache.bookkeeper.bookie.LedgerCache.putEntryOffset(LedgerCache.java:133)
        at org.apache.bookkeeper.bookie.LedgerDescriptor.addEntry(LedgerDescriptor.java:84)
        at org.apache.bookkeeper.bookie.Bookie.addEntry(Bookie.java:477)
        at org.apache.bookkeeper.proto.BookieServer.processPacket(BookieServer.java:108)
        at org.apache.bookkeeper.proto.NIOServerFactory$Cnxn.readRequest(NIOServerFactory.java:309)
        at org.apache.bookkeeper.proto.NIOServerFactory$Cnxn.doIO(NIOServerFactory.java:207)
        at org.apache.bookkeeper.proto.NIOServerFactory.run(NIOServerFactory.java:118)

{noformat}

The client  remains connected to the bookie, but never receives a response to the addEntry, causing the client pipeline to stall.",2011-06-01 11:31:09,2011-06-06 15:50:21
BOOKKEEPER-23,Timeout requests,Improvement,4,Closed,6,Fixed,2012-02-01 11:16:30,2011-06-01 21:09:04,2012-10-22T14:50:18.000+0000,ikelly,Ivan Kelly,ikelly,"If a client remains connected to a bookie, requests do not timeout. This is an undesirable behavior if a bookie is up but not responding to a request for some reason, like it is slow or has not handled an exception appropriately and did not respond to the client. I propose to add a timeout mechanism.",2011-06-01 21:09:04,2012-02-01 11:16:30
