jira_key,dev_start_ts,review_start_ts,review_end_ts,testing_end_ts,dev_duration_hours,review_duration_hours,testing_duration_hours,exception_reason
BOOKKEEPER-7,2009-02-04T11:01:20Z,,,2013-04-21T15:13:51Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-680,2009-04-01T15:59:07Z,,,2017-10-09T11:47:23Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-14,2009-05-08T05:29:21Z,,,2017-10-09T09:57:19Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-10,2009-07-11T07:45:46Z,,,2017-10-09T09:58:01Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-691,2010-01-26T18:00:58Z,,,2017-10-09T09:36:54Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-694,2010-03-13T00:41:21Z,,,2017-10-09T09:35:17Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-13,2010-03-18T15:31:01Z,,,2014-12-01T04:46:37Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-2,2010-07-09T20:40:40Z,,,2012-07-18T15:01:41Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-8,2010-07-20T03:30:10Z,,,2011-11-09T16:05:02Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-3,2010-07-20T03:41:18Z,,,2011-11-09T16:03:22Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-4,2010-07-24T15:11:11Z,2022-03-24T03:16:08Z,2022-03-24T12:42:44Z,2011-05-26T07:16:47Z,102252.0825,9.4433,,negative_testing_duration
BOOKKEEPER-693,2010-11-04T08:30:00Z,,,2017-10-09T09:35:52Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-17,2010-11-16T18:33:51Z,,,2011-06-28T04:28:47Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-6,2010-12-09T11:32:09Z,,,2011-06-01T10:56:12Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-15,2010-12-20T10:39:29Z,,,2011-11-03T00:46:23Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-16,2010-12-21T02:16:12Z,,,2011-11-30T11:39:49Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-5,2011-02-21T20:55:47Z,,,2011-08-30T07:49:03Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-11,2011-02-22T22:45:38Z,,,2011-07-28T18:34:55Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-12,2011-03-08T10:41:52Z,,,2017-10-09T09:57:29Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-692,2011-03-14T17:20:36Z,,,2017-10-09T09:36:36Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-9,2011-03-18T21:05:59Z,,,2017-10-09T09:58:38Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-1,2011-04-26T17:19:10Z,,,2011-05-25T09:42:40Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-18,2011-05-16T16:40:33Z,,,2011-08-29T17:34:45Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-19,2011-05-18T12:55:23Z,,,2011-05-20T14:15:56Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-20,2011-05-25T13:44:12Z,,,2011-11-09T15:55:16Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-21,2011-05-31T17:32:01Z,,,2011-06-28T04:27:39Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-22,2011-06-01T11:31:09Z,,,2011-06-06T15:50:21Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-23,2011-06-01T21:09:04Z,,,2012-02-01T11:16:30Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-24,2011-06-02T13:46:26Z,,,2017-10-09T09:56:38Z,,,,missing_review_start;missing_review_end
BOOKKEEPER-25,2011-06-07T12:21:47Z,,,2012-12-11T01:37:17Z,,,,missing_review_start;missing_review_end
