key,dev_duration_days,review_duration_days,test_duration_days
BOOKKEEPER-680,,,
BOOKKEEPER-14,,,
BOOKKEEPER-10,,,
BOOKKEEPER-691,,,
BOOKKEEPER-694,,,
BOOKKEEPER-2,,,
BOOKKEEPER-693,,,
BOOKKEEPER-17,,,
BOOKKEEPER-5,,,
BOOKKEEPER-11,,,
BOOKKEEPER-12,,,
BOOKKEEPER-692,,,
BOOKKEEPER-1,,,
BOOKKEEPER-18,,,
BOOKKEEPER-19,,,
BOOKKEEPER-21,,,
BOOKKEEPER-22,,,
BOOKKEEPER-23,,,
BOOKKEEPER-24,,,
BOOKKEEPER-26,,,
BOOKKEEPER-27,,,
BOOKKEEPER-28,,,
BOOKKEEPER-29,,,
BOOKKEEPER-30,,,
BOOKKEEPER-31,2268.0831597222223,0.1053587962962963,20.25297453703704
BOOKKEEPER-32,,,
BOOKKEEPER-33,,,
BOOKKEEPER-34,,,
BOOKKEEPER-36,,,
BOOKKEEPER-38,,,
BOOKKEEPER-39,,,
BOOKKEEPER-40,,,
BOOKKEEPER-41,,,
BOOKKEEPER-42,,,
BOOKKEEPER-43,,,
BOOKKEEPER-44,,,
BOOKKEEPER-46,,,
BOOKKEEPER-48,,,
BOOKKEEPER-50,,,
BOOKKEEPER-51,,,
BOOKKEEPER-52,,,
BOOKKEEPER-53,,,
BOOKKEEPER-55,,,
BOOKKEEPER-56,,,
BOOKKEEPER-57,,,
BOOKKEEPER-58,,,
BOOKKEEPER-59,,,
BOOKKEEPER-61,,,
BOOKKEEPER-62,,,
BOOKKEEPER-63,,,
BOOKKEEPER-64,,,
BOOKKEEPER-65,,,
BOOKKEEPER-66,,,
BOOKKEEPER-68,,,
BOOKKEEPER-69,,,
BOOKKEEPER-70,,,
BOOKKEEPER-71,,,
BOOKKEEPER-72,,,
BOOKKEEPER-74,,,
BOOKKEEPER-77,,,
BOOKKEEPER-78,,,
BOOKKEEPER-79,,,
BOOKKEEPER-80,,,
BOOKKEEPER-81,,,
BOOKKEEPER-82,,,
BOOKKEEPER-83,,,
BOOKKEEPER-84,,,
BOOKKEEPER-85,,,
BOOKKEEPER-86,,,
BOOKKEEPER-87,,,
BOOKKEEPER-88,,,
BOOKKEEPER-89,,,
BOOKKEEPER-90,,,
BOOKKEEPER-91,,,
BOOKKEEPER-92,,,
BOOKKEEPER-93,,,
BOOKKEEPER-94,,,
BOOKKEEPER-95,,,
BOOKKEEPER-96,,,
BOOKKEEPER-97,,,
BOOKKEEPER-98,,,
BOOKKEEPER-100,,,
BOOKKEEPER-101,,,
BOOKKEEPER-102,,,
BOOKKEEPER-104,,,
BOOKKEEPER-106,,,
BOOKKEEPER-107,,,
BOOKKEEPER-108,,,
BOOKKEEPER-109,,,
BOOKKEEPER-111,,,
BOOKKEEPER-112,,,
BOOKKEEPER-113,,,
BOOKKEEPER-114,,,
BOOKKEEPER-115,,,
BOOKKEEPER-117,,,
BOOKKEEPER-118,,,
BOOKKEEPER-119,,,
BOOKKEEPER-120,,,
BOOKKEEPER-121,,,
BOOKKEEPER-122,,,
BOOKKEEPER-124,,,
BOOKKEEPER-125,,,
BOOKKEEPER-127,,,
BOOKKEEPER-128,,,
BOOKKEEPER-129,,,
BOOKKEEPER-131,,,
BOOKKEEPER-132,,,
BOOKKEEPER-133,,,
BOOKKEEPER-134,,,
BOOKKEEPER-135,,,
BOOKKEEPER-137,,,
BOOKKEEPER-138,,,
BOOKKEEPER-139,,,
BOOKKEEPER-140,,,
BOOKKEEPER-141,,,
BOOKKEEPER-142,,,
BOOKKEEPER-143,,,
BOOKKEEPER-145,,,
BOOKKEEPER-146,,,
BOOKKEEPER-147,,,
BOOKKEEPER-148,,,
BOOKKEEPER-149,,,
BOOKKEEPER-150,,,
BOOKKEEPER-152,,,
BOOKKEEPER-153,,,
BOOKKEEPER-156,,,
BOOKKEEPER-157,,,
BOOKKEEPER-158,,,
BOOKKEEPER-159,,,
BOOKKEEPER-160,,,
BOOKKEEPER-161,,,
BOOKKEEPER-162,,,
BOOKKEEPER-163,,,
BOOKKEEPER-164,,,
BOOKKEEPER-165,,,
BOOKKEEPER-166,,,
BOOKKEEPER-167,,,
BOOKKEEPER-168,,,
BOOKKEEPER-169,,,
BOOKKEEPER-170,,,
BOOKKEEPER-171,,,
BOOKKEEPER-172,,,
BOOKKEEPER-173,,,
BOOKKEEPER-174,,,
BOOKKEEPER-175,,,
BOOKKEEPER-176,,,
BOOKKEEPER-177,,,
BOOKKEEPER-178,,,
BOOKKEEPER-180,,,
BOOKKEEPER-181,,,
BOOKKEEPER-182,,,
BOOKKEEPER-183,,,
BOOKKEEPER-184,,,
BOOKKEEPER-185,,,
BOOKKEEPER-186,,,
BOOKKEEPER-187,,,
BOOKKEEPER-188,,,
BOOKKEEPER-189,,,
BOOKKEEPER-190,,,
BOOKKEEPER-191,,,
BOOKKEEPER-192,,,
BOOKKEEPER-193,,,
BOOKKEEPER-194,,,
BOOKKEEPER-195,,,
BOOKKEEPER-196,,,
BOOKKEEPER-197,,,
BOOKKEEPER-198,,,
BOOKKEEPER-199,,,
BOOKKEEPER-200,,,
BOOKKEEPER-202,,,
BOOKKEEPER-203,,,
BOOKKEEPER-204,,,
BOOKKEEPER-205,,,
BOOKKEEPER-207,,,
BOOKKEEPER-208,,,
BOOKKEEPER-209,,,
BOOKKEEPER-211,,,
BOOKKEEPER-212,,,
BOOKKEEPER-213,,,
BOOKKEEPER-214,,,
BOOKKEEPER-215,,,
BOOKKEEPER-216,,,
BOOKKEEPER-217,,,
BOOKKEEPER-218,,,
BOOKKEEPER-219,,,
BOOKKEEPER-220,,,
BOOKKEEPER-223,,,
BOOKKEEPER-224,,,
BOOKKEEPER-226,,,
BOOKKEEPER-227,,,
BOOKKEEPER-228,,,
BOOKKEEPER-229,,,
BOOKKEEPER-231,,,
BOOKKEEPER-232,,,
BOOKKEEPER-233,,,
BOOKKEEPER-234,,,
BOOKKEEPER-235,,,
BOOKKEEPER-236,,,
BOOKKEEPER-237,,,
BOOKKEEPER-238,,,
BOOKKEEPER-239,,,
BOOKKEEPER-240,,,
BOOKKEEPER-243,,,
BOOKKEEPER-241,,,
BOOKKEEPER-242,,,
BOOKKEEPER-245,,,
BOOKKEEPER-246,,,
BOOKKEEPER-247,,,
BOOKKEEPER-248,,,
BOOKKEEPER-249,,,
BOOKKEEPER-250,,,
BOOKKEEPER-251,,,
BOOKKEEPER-252,,,
BOOKKEEPER-254,,,
BOOKKEEPER-257,,,
BOOKKEEPER-258,,,
BOOKKEEPER-259,,,
BOOKKEEPER-260,,,
BOOKKEEPER-262,,,
BOOKKEEPER-263,,,
BOOKKEEPER-265,,,
BOOKKEEPER-266,,,
BOOKKEEPER-268,,,
BOOKKEEPER-269,,,
BOOKKEEPER-270,,,
BOOKKEEPER-271,,,
BOOKKEEPER-272,,,
BOOKKEEPER-275,,,
BOOKKEEPER-273,,,
BOOKKEEPER-274,,,
BOOKKEEPER-276,,,
BOOKKEEPER-278,,,
BOOKKEEPER-279,,,
BOOKKEEPER-280,,,
BOOKKEEPER-281,,,
BOOKKEEPER-283,,,
BOOKKEEPER-285,,,
BOOKKEEPER-286,,,
BOOKKEEPER-287,,,
BOOKKEEPER-288,,,
BOOKKEEPER-289,,,
BOOKKEEPER-290,,,
BOOKKEEPER-291,,,
BOOKKEEPER-292,,,
BOOKKEEPER-293,,,
BOOKKEEPER-294,,,
BOOKKEEPER-296,,,
BOOKKEEPER-298,,,
BOOKKEEPER-299,,,
BOOKKEEPER-300,,,
BOOKKEEPER-302,,,
BOOKKEEPER-303,,,
BOOKKEEPER-304,,,
BOOKKEEPER-306,,,
BOOKKEEPER-307,,,
BOOKKEEPER-308,,,
BOOKKEEPER-309,,,
BOOKKEEPER-310,,,
BOOKKEEPER-311,,,
BOOKKEEPER-312,,,
BOOKKEEPER-313,,,
BOOKKEEPER-314,,,
BOOKKEEPER-315,,,
BOOKKEEPER-317,,,
BOOKKEEPER-318,,,
BOOKKEEPER-319,,,
BOOKKEEPER-320,,,
BOOKKEEPER-321,,,
BOOKKEEPER-322,,,
BOOKKEEPER-324,,,
BOOKKEEPER-325,,,
BOOKKEEPER-326,,,
BOOKKEEPER-327,,,
BOOKKEEPER-328,,,
BOOKKEEPER-329,,,
BOOKKEEPER-330,,,
BOOKKEEPER-331,,,
BOOKKEEPER-332,,,
BOOKKEEPER-333,,,
BOOKKEEPER-334,,,
BOOKKEEPER-335,,,
BOOKKEEPER-336,,,
BOOKKEEPER-337,,,
BOOKKEEPER-338,,,
BOOKKEEPER-339,,,
BOOKKEEPER-340,,,
BOOKKEEPER-341,,,
BOOKKEEPER-342,,,
BOOKKEEPER-343,,,
BOOKKEEPER-345,,,
BOOKKEEPER-346,,,
BOOKKEEPER-347,,,
BOOKKEEPER-348,,,
BOOKKEEPER-349,,,
BOOKKEEPER-351,,,
BOOKKEEPER-352,,,
BOOKKEEPER-354,,,
BOOKKEEPER-355,,,
BOOKKEEPER-363,,,
BOOKKEEPER-364,,,
BOOKKEEPER-365,,,
BOOKKEEPER-367,,,
BOOKKEEPER-368,,,
BOOKKEEPER-369,,,
BOOKKEEPER-370,,,
BOOKKEEPER-371,,,
